"","x"
"mu",0.00613000988960266
"d.1",2.61712757670202
"d.2",2.1499217049311
"d.3",2.77529681629598
"d.4",2.3624093769591
"d.5",2.32874018913792
"d.6",2.3821020610974
"d.7",1.92128926831032
"d.8",2.53173901841515
"d.9",1.86546338914886
"d.10",2.41037244453812
"d.11",2.56246819287757
"d.12",2.67976917312189
"d.13",0.236802102799603
"d.14",1.37836644416907
"d.15",1.59703990639624
"d.16",1.21950919922234
"d.17",-1.11043152434343
"d.18",1.43983833249315
"d.19",-11.9221850298504
"d.20",-1.14464381889379
"d.21",-11.9702468812912
"d.22",-12.1019550647055
"d.23",-12.0982079677934
"d.24",-11.8949645053468
"d.25",-12.0442276561717
"d.26",-11.9355276184535
"d.27",1.40171438044649
"d.28",-12.1775524123056
"d.29",0.467826422504158
"d.30",1.60193040408166
"d.31",1.84448888646205
"d.32",2.0109192701641
"d.33",1.78745443927583
"d.34",1.22772922365694
"d.35",1.89886100270424
"d.36",2.26920670874948
"d.37",0.216828964833269
"d.38",1.72208276609278
"d.39",1.65699288337213
"d.40",1.55560836142431
"d.41",2.23709545293679
"d.42",0.661486258875102
"d.43",0.445222853119485
"d.44",1.27417478952386
"d.45",1.23930636662189
"d.46",1.66907046458249
"d.47",1.62316930880738
"d.48",-12.1913251663971
"d.49",-12.2249514696187
"d.50",1.55505617903194
"d.51",1.87367349609042
"d.52",1.17809632785336
"d.53",0.722170871660171
"d.54",1.94459236382202
"d.55",-0.0432028470352294
"d.56",1.70639670845471
"d.57",2.1185837575913
"d.58",1.94876187957723
"d.59",-12.0120210923119
"d.60",1.64874965903938
"d.61",2.1997144000078
"d.62",1.89651950295727
"d.63",2.31310269418857
"d.64",2.10268568407317
"d.65",1.83940426691574
"d.66",2.45883373834332
"d.67",2.26346867105963
"d.68",2.10477300504002
"d.69",2.68147460812327
"d.70",2.59598364149384
"d.71",2.44739208160991
"d.72",2.08894275542216
"d.73",2.75955114910795
"d.74",2.18268828929787
"d.75",1.69183309918714
"d.76",2.17871780813148
"d.77",1.73429369246231
"d.78",2.58047017057669
"d.79",2.32814650910739
"d.80",2.24826412465886
"d.81",2.51251786987739
"d.82",1.6397309332739
"d.83",2.10821678069242
"d.84",2.21071618081818
"d.85",2.29435379007225
"d.86",2.01055065033046
"d.87",2.52295981551367
"d.88",2.63777086183076
"d.89",2.33105709346825
"d.90",2.27498006225592
"d.91",0.758865074903035
"d.92",2.5912375744956
"d.93",2.37538688415111
"d.94",2.05707085088759
"d.95",2.09439088195394
"d.96",2.03448802675583
"d.97",2.05483192927006
"d.98",1.94315255149467
"d.99",2.05098598277606
"d.100",-12.0521243682358
"d.101",-12.3694128664494
"d.102",0.930713402221944
"d.103",-2.82130562618172
"d.104",1.50723916159733
"d.105",1.54152155592249
"d.106",-12.2315430618374
"d.107",0.563552012494022
"d.108",1.22772697528131
"d.109",1.10133224556756
"d.110",1.73693556258531
"d.111",1.91130386725999
"d.112",1.82715799984956
"d.113",1.77767761993661
"d.114",1.74640804599885
"d.115",2.01896035110421
"d.116",1.1945040344555
"d.117",1.06780149330699
"d.118",1.34078665175157
"d.119",1.45447165168241
"d.120",1.99678712668846
"d.121",2.28098145530074
"d.122",2.14799901405561
"d.123",1.55277999305467
"d.124",1.87583717942192
"d.125",1.24213426028209
"d.126",0.804289460560755
"d.127",1.58260565413001
"d.128",1.65028507233449
"d.129",1.66466952030843
"d.130",1.90183477373361
"d.131",0.911704145599014
"d.132",0.576785061070707
"d.133",1.66251193120948
"d.134",-0.516290512990621
"d.135",1.76887274393132
"d.136",-12.221640841807
"d.137",-1.38394881817135
"d.138",2.08636988292242
"d.139",2.21436897607721
"d.140",1.1827591850245
"d.141",0.192184765091859
"d.142",0.377013894391135
"d.143",-12.3462508557544
"d.144",1.89440055233286
"d.145",1.67121271629818
"d.146",2.15286619314712
"d.147",2.31143846818686
"d.148",2.31037082929975
"d.149",2.44631855543369
"d.150",1.85549329872193
"d.151",2.54895263856011
"d.152",2.26756567626121
"d.153",2.46107744007542
"d.154",2.72957139580187
"d.155",2.69987028573201
"d.156",2.68904265451161
"d.157",2.60730635738913
"d.158",2.26369942143777
"d.159",2.09146298028993
"d.160",2.18256199114662
"d.161",2.01856210739698
"d.162",2.39573917330931
"d.163",2.33479644870262
"d.164",2.74852349304382
"d.165",2.64823811965579
"d.166",3.11992082567745
"d.167",2.81302253253419
"d.168",2.62412724130596
"d.169",1.74615705331954
"d.170",2.61784755881824
"d.171",3.14119660471052
"d.172",2.73664410648551
"d.173",2.14063937967781
"d.174",2.41314115021379
"d.175",2.04131339616363
"d.176",2.32543532370079
"d.177",2.06515426382477
"d.178",2.21044366154657
"d.179",2.11886560925252
"d.180",2.23479542172797
"d.181",2.43917468419149
"d.182",2.36234427904328
"d.183",2.71363822395934
"d.184",2.84094370501948
"d.185",2.39166755769757
"d.186",2.03025303264996
"d.187",2.29138207336361
"d.188",2.46438676203308
"d.189",1.66314215139596
"d.190",2.22499666062897
"d.191",1.61638940728719
"d.192",0.0310362974115087
"d.193",2.49991385366687
"d.194",2.80247006320371
"d.195",2.56780336531506
"d.196",2.76704241034986
"d.197",2.84590441976676
"d.198",2.55906730082055
"d.199",2.43423240915639
"d.200",2.09385075521578
"d.201",1.97995174890071
"d.202",1.93693304994969
"d.203",1.83136535022763
"d.204",2.31814568432574
"d.205",2.21553473983994
"d.206",2.74324943111931
"d.207",2.40559939128582
"d.208",2.09877542037281
"d.209",2.49411132453662
"d.210",2.46622998004071
"d.211",2.60741275087812
"d.212",2.68050302639961
"d.213",1.7966424489571
"d.214",2.39034734878642
"d.215",2.06292136014036
"d.216",2.39188412466096
"d.217",2.12467957845902
